rut_cliente,edad
18946000,42
25824500,25
1849500,36
3741500,29
9663500,37
3792000,35
14183500,19
8288500,45
16519500,30
6860000,53
22631500,20
6502000,45
6458500,47
18542000,30
7359500,48
11479000,34
16241500,23
3606500,30
21371000,41
20424500,19
6732000,42
9167000,34
25483000,28
14775500,26
2832500,26
11949000,41
15782500,25
20685500,45
19044500,25
10122000,28
2304000,54
12404000,38
8739500,43
2450000,32
2511500,25
9029000,20
20521000,32
14433500,19
20777500,37
15380000,49
9870500,34
2362500,49
2272500,38
23948500,21
10441500,27
9621000,37
15445500,29
7792000,26
17498500,41
20283000,37
3806500,22
5286500,57
3289000,25
8560000,24
17383000,38
13805500,26
8907000,45
19531000,29
9025000,33
24297000,48
4311500,28
6839000,32
24933500,40
18061000,37
7811000,30
5929500,40
6515000,32
7147500,36
2011000,19
5046500,20
19699500,21
24249000,41
12125500,19
1051500,49
8702000,53
14660500,24
24669500,23
22529000,24
22848500,21
7839500,43
16043500,22
4692000,45
2642500,36
25554500,24
7344000,27
4496500,22
8028000,57
7610500,52
4592000,26
11800000,34
9097500,37
2158500,24
22306500,20
2818000,23
20877000,21
12611000,35
24528000,23
6758000,37
7809000,19
12469500,40
21180500,24
21640500,40
10104500,21
18865000,29
9501000,20
6142000,36
17615000,50
22034000,33
1905500,27
10103000,33
3750000,26
19727000,51
4701500,37
13135500,36
13704000,21
9821500,47
16190500,33
18414000,19
19660500,20
1254000,29
1137000,56
20841000,35
20134000,21
14625500,23
23939000,39
3726000,42
10509000,44
6608500,56
9796000,29
8353500,22
23168000,27
6418500,35
5357000,32
16376000,34
13332500,48
3212500,35
9285000,25
25053500,28
21175000,25
4932500,22
20361500,26
1750500,25
1633000,40
12318500,39
15509500,22
15308500,19
15753000,58
5704500,34
16159000,22
15468500,19
16710500,32
10954500,35
25103000,25
16213500,20
7824500,34
25234000,22
18285500,35
14426500,49
5436500,25
14487500,25
11443000,21
22914000,31
1339000,26
24256500,22
23010000,21
14489500,28
16842000,36
14679000,30
2043500,25
17431000,46
24175500,25
12310000,32
21252000,27
17786500,46
4476000,34
22915000,45
24076500,46
14131000,31
24253000,43
19199500,19
14560500,35
20386000,21
11364000,21
17382000,34
20462000,54
9201000,20
22348500,38
17553000,34
16077500,22
10696500,23
17991000,36
20892000,20
3331500,31
23139000,34
3759000,19
7654000,20
1397500,44
2916500,37
10402500,46
18310000,31
15713000,47
23357500,32
21160500,41
12643000,21
25983000,42
25574000,22
23511500,21
18887500,22
11498500,42
11586500,51
9245500,26
16621500,21
14372500,20
5354500,28
3911500,38
9988000,32
22790000,39
1597500,45
8568000,37
18733000,37
18518000,27
21803000,36
14570500,24
7387500,27
4237000,36
25517000,26
8774000,42
17073000,24
9469500,32
16762500,28
22846000,30
3645500,35
15264500,25
4564000,23
17084500,37
25634500,40
13202500,34
11734500,45
10426000,23
3479000,22
15769000,42
3342500,24
11551000,50
24345000,30
20326000,48
13965000,35
25738500,37
3262500,47
1386500,22
14235500,57
16850000,20
14691500,24
20221000,36
17511000,23
14146500,36
24514500,30
11330000,24
1090500,22
8128500,27
21936500,35
21539000,21
25744500,24
5199500,48
12328500,57
12700500,26
18562000,24
21777000,19
22444500,42
2221000,34
11329000,31
22689500,45
1395000,21
5398500,26
11087500,20
21736000,46
15621000,43
5805500,23
7551500,53
5520000,40
25918000,28
19707500,46
9476000,25
25575500,35
14883500,55
4526000,25
25530500,48
4951000,39
14933500,51
4336000,35
4487500,36
19424500,26
7183000,29
5385000,51
25113500,22
18803000,49
7059000,35
18966500,24
7356500,54
7060000,42
1968500,19
24252500,26
1584000,28
23219500,39
14499000,29
23982500,21
9009000,31
10602000,35
1515000,40
6038500,57
10204500,33
25109500,23
7316500,21
11830000,35
4374000,42
22892000,30
2873500,23
12330000,23
15609500,27
22849500,30
18268500,21
17414500,27
19313500,36
10066000,19
10174500,20
7363500,22
3105000,19
5763000,34
3162000,45
21884000,20
15463500,43
22574000,37
18688000,39
15888000,19
11779500,31
20419500,43
10196000,53
8961000,19
25067500,48
25292000,45
11329500,32
2055000,38
8309000,52
13556000,28
14867500,19
9555000,58
23832500,31
18921000,44
25015000,46
15131000,24
23218000,28
9424500,21
24324000,19
12497000,21
10985500,21
23066500,37
22730000,35
4064000,33
2463000,24
20918500,20
11915000,29
9862500,40
12855000,34
6434000,22
20031500,42
23395500,29
23882000,29
12878000,39
2072000,20
1195000,22
9155500,31
2768500,57
22124500,27
20776000,19
6259500,32
14233500,20
20963000,44
22152000,35
13856500,38
20077000,26
2086000,39
19221500,19
19769000,31
23985000,31
21219500,39
14593500,31
14149000,39
12332000,29
18435500,20
6799000,36
13935000,44
8757500,26
19307500,23
13753500,37
24097500,40
7462000,33
15688500,19
17657000,45
7186500,39
8204000,38
4262500,46
20601500,25
9444000,26
10013500,33
18335000,21
25423500,22
5676500,35
10382000,46
6046500,31
21899500,52
5809000,40
20534000,20
10460500,29
14239500,34
10668000,40
18011000,48
12786500,31
9875000,49
20804000,27
8595000,39
2698000,26
15561500,44
25197500,47
20297500,29
20817000,24
3168000,33
23399500,27
19687000,19
24969500,36
10793500,40
19218000,47
11472000,38
17124000,55
21259000,45
14587500,33
15414000,31
21898000,44
7599500,41
7110500,20
7061500,22
10846000,31
18459000,33
19051500,22
14440000,24
11125000,26
20276500,43
10606500,30
19468000,19
10034500,22
23014000,45
4547000,25
13163000,26
22496500,42
15728500,40
11162000,40
15506500,52
2278000,34
4662500,22
17050500,34
10481000,20
8666000,21
3375500,33
4185000,53
7067500,21
11112500,21
19117500,27
17637500,25
15136000,26
7476500,30
18441000,20
4174500,25
6728500,36
7522500,28
3251500,26
18430000,30
2656500,47
5053500,38
23409000,30
1039000,24
14348500,29
9891000,47
14215000,42
5162500,23
19967500,32
6822000,20
22151500,36
8063500,37
8842000,31
5214000,59
3397000,23
10838500,25
24659500,45
5285000,23
6597000,21
9213000,33
6309500,33
2925500,36
16504500,20
4008500,39
6503500,33
23918500,40
22742500,33
23492500,20
18657500,48
5881000,25
23441000,46
11867500,34
14288500,19
11134500,20
3943000,19
21963000,40
7080500,22
6034500,27
17984000,36
25372000,38
14941000,29
11484000,20
6026000,43
20949000,25
4774000,33
5346500,22
19546500,41
23390000,43
20201000,29
3281000,39
12609500,21
5227000,53
7673000,31
2556000,46
20325500,22
