rut_cliente,malo_en_los_12m,cantidad_tarjetas_credito,ingreso,meses_en_su_actual_trabajo
1000500,0,0,450000,48
1003500,0,0,615000,48
1004500,1,0,1500000,0
1006000,0,0,1050000,0
1009500,0,0,780000,120
1013000,1,0,427500,24
1015000,0,0,663000,12
1016000,1,0,420000,0
1017500,0,0,585000,24
1018000,0,0,525000,12
1019000,0,0,676500,72
1020000,1,0,450000,60
1021000,0,0,330000,0
1025500,0,0,750000,24
1026000,0,0,450000,24
1033000,0,0,615000,12
1034000,0,0,1050000,84
1034500,1,0,300000,0
1039000,0,0,532500,24
1045500,0,1,1146000,24
1047000,1,1,1200000,24
1048500,1,0,1050000,12
1049500,0,0,510000,0
1051000,0,0,778500,0
1051500,0,0,504000,0
1053500,0,0,1543500,12
1054000,0,0,1500000,24
1058000,0,0,2400000,24
1058500,0,0,678000,0
1061000,0,0,1230000,72
1061500,0,1,750000,60
1063500,0,0,2098500,60
1065500,0,0,571500,12
1067000,0,0,984000,84
1070000,0,0,810000,84
1070500,0,0,273000,12
1071000,0,1,1950000,48
1073000,0,0,339000,24
1076500,1,0,450000,12
1077500,1,0,1800000,180
1080000,0,0,573000,180
1081000,1,0,862500,24
1083500,0,0,567000,12
1086000,0,1,714000,60
1089000,0,0,270000,12
1090000,1,0,750000,12
1091500,0,0,525000,24
1092500,0,0,1050000,24
1093000,1,0,382500,36
1094500,0,0,825000,60
1095500,0,0,510000,72
1096000,0,0,855000,12
1098000,1,0,720000,60
1098500,1,0,304500,12
1099500,1,0,352500,12
1100500,0,0,463500,12
1101000,0,0,1200000,60
1104000,0,0,667500,0
1105000,0,0,510000,60
1105500,0,0,1845000,72
1107000,0,0,1500000,180
1108000,1,0,1294500,144
1108500,0,0,420000,24
1109000,0,0,370500,24
1109500,0,0,450000,36
1110000,0,0,675000,12
1111000,1,0,1050000,12
1111500,0,0,304500,12
1112000,0,0,450000,0
1113000,1,0,1560000,0
1114500,1,0,306000,12
1115500,0,0,450000,0
1116000,0,0,481500,48
1117500,0,0,540000,0
1118000,0,0,585000,24
1119500,0,0,838500,24
1121000,1,0,510000,12
1121500,1,0,300000,12
1122000,0,0,270000,0
1126500,0,2,1927500,24
1128500,0,0,825000,24
1133000,0,0,840000,108
1134500,0,0,450000,60
1136000,0,0,2250000,120
1136500,0,0,270000,96
1139500,1,0,750000,24
1141500,1,0,489000,12
1142000,0,0,1869000,12
1143000,0,0,406500,24
1147000,0,0,450000,12
1151500,0,0,405000,12
1153500,0,0,337500,24
1154500,1,0,396000,12
1155000,1,0,603000,12
1155500,0,0,760500,0
1160500,1,1,789000,60
1162500,1,0,1350000,84
1163000,0,0,277500,24
1166000,0,0,405000,48
1167500,0,0,720000,144
1168500,0,0,600000,12
1170000,0,0,900000,60
1175000,0,0,465000,12
1175500,0,0,2250000,12
1176000,0,0,433500,72
1178000,0,0,570000,48
1179000,0,0,375000,144
1181000,1,0,480000,12
1182000,1,0,570000,0
1183000,0,0,319500,24
1184500,0,0,340500,60
1188000,0,0,525000,36
1190000,0,0,613500,12
1193000,0,0,426000,120
1195500,0,0,457500,12
1199000,0,0,975000,0
1201000,1,0,300000,36
1204500,0,2,2433000,120
1206500,1,0,1050000,192
1208000,1,0,360000,0
1209500,0,0,300000,12
1210000,0,0,1350000,0
1210500,0,0,540000,0
1214500,0,0,540000,60
1216000,0,0,1800000,0
1217000,1,0,300000,12
1218000,0,0,555000,12
1220500,1,0,411000,24
1221000,0,0,1200000,72
1221500,0,0,300000,120
1222000,1,0,1500000,0
1223000,0,0,613500,72
1226500,0,0,322500,48
1227500,0,0,900000,12
1229000,0,0,900000,36
1231500,1,0,450000,12
1232500,0,0,336000,12
1234000,0,0,705000,12
1234500,0,1,1047000,24
1236000,0,0,675000,60
1237500,0,0,715500,24
1239000,0,0,1500000,0
1239500,0,0,1080555,12
1241000,0,0,750000,60
1242000,0,0,750000,36
1245500,0,0,607500,0
1247500,0,0,270000,36
1248000,0,0,750000,60
1249000,0,0,1095000,204
1250000,0,0,465000,0
1250500,1,0,525000,36
1251500,0,0,1200000,180
1253000,0,0,750000,84
1255500,1,0,2250000,24
1256500,0,1,2167500,36
1257000,0,1,1170000,120
1258000,0,0,360000,36
1259000,0,0,387000,36
1261000,0,0,870000,0
1261500,0,0,301500,48
1262000,0,1,765000,24
1262500,0,2,750000,12
1263000,0,0,270000,0
1263500,0,0,2025000,96
1264000,0,0,300000,12
1267000,1,0,532500,0
1270000,1,0,597000,48
1271000,1,0,375000,0
1273000,1,1,2250000,0
1274000,0,0,457500,24
1275000,1,0,900000,36
1275500,0,0,600000,120
1276000,0,0,450000,12
1276500,0,0,540000,120
1279000,0,0,390000,12
1280500,0,0,1587000,60
1281000,0,0,810000,24
1282500,1,0,900000,24
1283000,0,0,390000,84
1284500,0,0,1200000,12
1287000,0,0,525000,120
1287500,0,0,300000,12
1289000,0,0,300000,12
1289500,0,0,750000,24
1292000,0,0,1380000,192
1292500,1,0,720000,60
1293000,0,0,606000,24
1294000,0,0,774000,12
1296000,0,0,270000,12
1296500,0,0,1440000,204
1299500,1,1,892500,168
1300500,1,0,690000,36
1303000,0,0,525000,12
1304000,0,0,1164000,0
1304500,0,0,750000,0
1307500,0,0,541500,0
1311500,0,0,270000,0
1313000,0,0,330000,36
1313500,0,1,2280000,12
1315500,1,0,675000,0
1316000,0,0,450000,0
1317500,0,0,300000,36
1318500,0,0,2296500,0
1323500,0,0,525000,0
1326000,0,0,270000,0
1327000,0,0,675000,24
1328000,0,0,585000,48
1331000,1,0,330000,12
1332000,0,0,675000,60
1332500,0,0,300000,60
1335000,0,0,450000,120
1337000,0,0,1875000,96
1340500,0,0,1050000,36
1341000,0,0,270000,120
1344000,0,0,429000,24
1344500,0,0,675000,96
1345500,0,0,750000,12
1349500,1,0,1275000,12
1350000,1,0,2137500,24
1350500,0,0,718500,12
1351500,0,0,900000,0
1353000,1,0,1057500,36
1355000,0,1,1474500,180
1357000,0,0,417000,12
1357500,0,0,1200000,0
1363500,1,0,450000,0
1364000,0,0,300000,0
1365500,1,2,1500000,12
1366500,1,0,601500,48
1367000,0,0,450000,12
1368500,1,0,379500,12
1371500,1,0,270000,60
1373500,0,0,775500,0
1374500,0,0,739500,24
1376000,1,0,1200000,60
1376500,0,0,600000,24
1377500,0,0,450000,12
1378000,1,0,375000,60
1378500,0,0,691500,24
1379500,1,0,405000,0
1380500,0,0,270000,60
1381500,0,0,861000,12
1388000,0,0,313500,12
1389000,0,0,375000,0
1390500,0,0,900000,36
1393000,0,0,819000,12
1394500,0,0,270000,36
1395000,0,0,295500,12
1397000,0,1,1140000,0
1401000,0,1,1080000,0
1402000,0,0,2250000,120
1403000,1,0,414000,0
1403500,0,0,450000,36
1405500,0,0,543000,0
1409500,0,0,270000,0
1410000,0,1,1872000,132
1411000,0,0,675000,12
1412000,0,0,345000,12
1416500,0,0,1050000,12
1417000,0,0,2023500,144
1419000,1,0,600000,0
1419500,1,0,537000,24
1422500,0,0,300000,0
1426000,1,0,405000,0
1426500,0,0,375000,12
1428000,0,1,750000,12
1428500,0,0,511500,24
1429000,0,0,345000,0
1429500,0,0,540000,84
1430000,0,0,1200000,0
1432000,0,0,1837500,180
1433000,0,0,997500,0
1433500,0,0,450000,36
1434000,1,0,450000,168
1435500,0,0,1438500,60
1436000,0,0,1350000,12
1437000,0,1,1050000,24
1438000,0,0,345000,24
1441000,1,0,366000,12
1446000,0,0,778500,12
1446500,0,0,1950000,0
1450500,0,0,750000,96
1452000,1,0,450000,0
1453500,0,0,750000,12
1454000,0,0,306000,12
1455000,0,0,555000,24
1459000,0,0,1155000,24
1460500,0,0,1440000,0
1461500,0,0,2250000,144
1464500,0,0,1206000,96
1465500,0,0,402000,96
1466500,0,0,1353000,0
1467000,0,0,337500,36
1468500,0,0,331500,36
1474500,1,0,532500,72
1476500,1,0,1650000,48
1477000,0,0,390000,12
1477500,1,0,1200000,48
1479500,0,0,300000,24
1481500,1,1,979500,12
1482000,0,0,600000,0
1483000,0,0,450000,24
1484000,0,0,492000,96
1484500,0,0,1980000,60
1486000,0,0,975000,36
1487500,0,0,630000,12
1490000,0,0,450000,60
1496500,0,1,1200000,24
1499000,0,1,1332000,156
1501000,0,0,787500,12
1502000,0,0,525000,0
1504500,0,0,1050000,84
1505000,0,0,298500,72
1506000,1,0,750000,72
1507500,0,0,426000,36
1508500,0,0,438000,144
1510500,0,0,1800000,12
1511500,0,0,270000,132
1512000,1,0,450000,24
1512500,0,0,517500,96
1513500,0,0,300000,0
1514000,0,0,300000,12
1515000,1,0,319500,48
1515500,0,0,900000,0
1518500,0,0,600000,72
1519000,1,0,600000,0
1521000,1,0,600000,0
1522000,1,1,1273500,192
1523000,1,0,1744500,24
1523500,1,0,939000,0
1525000,0,0,1561500,12
1526000,1,0,300000,0
1529000,0,0,423000,12
1531500,0,0,2106000,144
1534000,0,0,1200000,0
1534500,0,0,900000,48
1535500,0,0,2400000,0
1537000,0,0,375000,108
1540500,0,0,600000,0
1543000,0,0,300000,24
1544500,1,1,894000,24
1547000,0,0,330000,12
1547500,0,0,375000,12
1551500,0,0,1200000,96
1552000,1,0,339000,12
1554500,0,0,303000,36
1555500,0,0,750000,48
1557500,1,0,675000,0
1559000,1,0,450000,60
1563000,0,2,1218000,36
1564000,1,0,2250000,60
1568000,0,0,285000,0
1568500,0,0,300000,12
1569000,0,0,900000,12
1569500,0,0,525000,36
1570000,0,0,340500,84
1570500,1,0,450000,0
1571500,0,0,450000,12
1573500,0,0,345000,0
1574000,0,0,675000,0
1574500,0,0,456000,0
1576500,0,0,450000,36
1577000,0,0,585000,24
1577500,0,0,450000,60
1579000,1,0,375000,12
1579500,1,0,450000,24
1580000,0,0,636000,12
1582000,0,0,375000,12
1583500,0,0,450000,60
1584000,1,0,2563500,0
1584500,0,0,675000,72
1587000,0,0,735000,72
1587500,0,0,1500000,60
1589500,0,0,450000,0
1590000,0,0,765000,12
1590500,0,0,679500,12
1592000,0,0,300000,12
1592500,0,1,624000,168
1598000,0,0,1722000,36
1601000,0,0,330000,12
1602500,0,0,670500,12
1603000,1,0,450000,0
1603500,0,0,1125000,84
1604000,1,0,858000,12
1606000,0,0,600000,0
1607000,0,0,1950000,72
1608000,0,0,876000,0
1608500,0,0,745500,0
1609000,1,0,330000,12
1609500,0,0,972000,24
1612000,1,0,720000,0
1612500,0,0,405000,0
1613500,0,1,1950000,48
1614000,0,0,466500,0
1615000,0,0,525000,12
1617500,0,0,600000,0
1619000,0,0,319500,0
1619500,0,0,750000,120
1621500,0,0,270000,0
1622000,0,2,1581000,180
1622500,1,0,648000,24
1626000,0,1,1800000,120
1626500,0,0,565500,60
1627500,1,0,492000,36
1628000,1,0,1275000,48
1629000,0,0,300000,12
1630000,0,2,450000,72
1630500,0,0,570000,12
1631000,0,0,600000,0
1631500,0,0,315000,24
1632000,0,0,1125000,12
1632500,0,0,403500,12
1633000,0,0,300000,12
1635000,0,0,339000,0
1636000,0,0,300000,12
1636500,0,0,270000,72
1638000,0,0,480000,24
1638500,0,1,517500,12
1640000,1,0,450000,12
1643000,0,0,1350000,72
1646500,0,0,318000,12
1648500,0,0,810000,48
1650500,0,0,364500,12
1651000,0,0,2250000,192
1652000,1,0,330000,24
1653500,0,0,345000,24
1662000,1,0,1200000,72
1664000,0,0,450000,108
1665000,0,0,375000,0
1665500,0,0,1950000,132
1667000,0,0,406500,12
1667500,0,0,366000,12
1668500,1,0,1035000,0
1669500,0,0,555000,12
1671000,0,0,1039500,12
1671500,1,0,454500,12
1672500,0,0,600000,48
1676000,1,0,1200000,24
1676500,0,0,394500,24
1677500,0,0,525000,0
1679000,0,0,1315500,144
1680500,1,0,450000,24
1681000,0,0,600000,12
1682000,0,0,304500,12
1683000,0,0,2250000,48
1683500,0,0,1080000,12
1684000,1,0,285000,12
1685500,0,0,750000,0
1687000,0,0,1200000,60
1687500,0,0,1050000,12
1688000,0,0,675000,12
1689500,0,0,484500,24
1691000,0,0,600000,0
1692500,0,0,1425000,12
1693000,0,0,330000,12
1695500,0,2,2250000,24
1696000,1,1,1050000,12
1697000,0,0,637500,12
1700000,0,0,1800000,0
1701500,0,0,2250000,12
1704500,0,0,795000,60
1705500,0,0,405000,12
1706500,0,0,675000,120
1708000,0,0,450000,0
1710500,0,1,2139000,156
1711000,0,0,600000,12
1712500,1,0,645000,24
1714000,0,0,675000,48
1719000,0,0,2250000,36
1720500,1,0,900000,24
1722000,1,0,708000,0
1722500,0,1,1950000,12
1723000,0,0,600000,24
1726000,0,0,330000,12
1726500,0,1,666000,24
1727500,0,0,450000,12
1728000,0,0,480000,120
1729500,0,0,1200000,84
1730500,0,0,270000,36
1731500,0,0,420000,12
1732000,1,0,450000,0
1733000,0,2,1369500,60
1733500,0,0,301500,48
1735000,1,0,675000,24
1738500,0,0,505500,60
